Date and Name,Date,Name,Position,Picture,RPE,Sleep Quality,Sleep Duration,Fatigue,Soreness,Stress,Readiness Score,Session,GPS Load,Total Distance,Low Intensity Distance,Moderate Intensity Distance,High Intensity Distance,Sprint Distance,Total Acceleration,Med. Intensity Accel Count,High Int. Accel Count,Max Int. Accel Count,Total Deceleration,Med. Intensity Decel Count,High Intensity Decel Counts,Max Intensity Decel Counts,Top Sprint Speed
45142Pele,45142,Pele,Forward,https://i.guim.co.uk/img/media/6e5f6d8d3e75e53d38d0d640a03ae88acd39fec1/0_0_2515_3180/master/2515.jpg?width=700&quality=85&auto=format&fit=max&s=181d7944e658c049e0045f91bb0ce989,8,6,6,6.5,6.5,4,81.5,Tempo,149,1145,183.2,286.25,400.75,274.8,12,1.92,3.6,6.48,20,12,7,0,16.6
45146Kobe Bryant,45146,Kobe Bryant,Guard,https://cdn.nba.com/headshots/nba/latest/1040x760/977.png,5,7,6,5.5,4,4,75,Change of Direction,57,1335,360.45,480.6,400.5,93.45,128,26.88,47.36,53.76,83,35,25,23,14.52
45118Michael Jordan,45118,Michael Jordan,Guard,https://clutchpoints-profile-pics.s3.amazonaws.com/headshots/jordanm.png,6,6,6,7.5,6,8,83,Change of Direction,103,1328,358.56,478.08,398.4,92.96,122,25.62,45.14,51.24,76,32,23,21,16.57
45139Jackie Robinson,45139,Jackie Robinson,2B,https://hips.hearstapps.com/hmg-prod/images/jackie-robinson-brooklyn-dodger-from-1947-1956-the-first-news-photo-1686849060.jpg,8,6,6,8,5,5,81,Change of Direction,83,1327,358.29,477.72,398.1,92.89,69,14.49,25.53,28.98,72,31,22,20,16.93
45142Wayne Gretzky,45142,Wayne Gretzky,Center,https://media.gettyimages.com/id/51390816/photo/montreal-qc-wayne-gretzky-of-the-edmonton-oilers-poses-for-a-portrait-on-january-9-1985-at-the.jpg?s=612x612&w=gi&k=20&c=ykQG9ElBkw-A4rW4mC-2ruUVB5-kCvwZPsxV_MMgyNc=,7,6.5,8.5,8,6,6,79,Tempo,215,1137,181.92,284.25,397.95,272.88,17,2.72,5.1,9.18,16,10,6,0,17.91
45139Kobe Bryant,45139,Kobe Bryant,Guard,https://cdn.nba.com/headshots/nba/latest/1040x760/977.png,5,6,6,3.5,4,5,77,Change of Direction,27,1325,357.75,477,397.5,92.75,123,25.83,45.51,51.66,83,35,25,23,13.46
45128Tom Brady,45128,Tom Brady,QB,https://apps.bostonglobe.com/sports/graphics/2017/01/tom-brady-superfreak/assets/img/brady_old.png,7,7,7,3.5,7,4,79,Tempo,92,1134,181.44,283.5,396.9,272.16,9,1.44,2.7,4.86,15,9,5,0,13.64
45135Pele,45135,Pele,Forward,https://i.guim.co.uk/img/media/6e5f6d8d3e75e53d38d0d640a03ae88acd39fec1/0_0_2515_3180/master/2515.jpg?width=700&quality=85&auto=format&fit=max&s=181d7944e658c049e0045f91bb0ce989,7,7,7,4,8,7,83,Tempo,88,1134,181.44,283.5,396.9,272.16,9,1.44,2.7,4.86,12,7,4,0,15.74
45132Michael Jordan,45132,Michael Jordan,Guard,https://clutchpoints-profile-pics.s3.amazonaws.com/headshots/jordanm.png,6.5,8,8,6.5,5.5,8,79,Change of Direction,60,1318,355.86,474.48,395.4,92.26,117,24.57,43.29,49.14,69,29,21,19,15.79
45128Kobe Bryant,45128,Kobe Bryant,Guard,https://cdn.nba.com/headshots/nba/latest/1040x760/977.png,6.5,7,7,6,8,8,83.5,Tempo,65,1128,180.48,282,394.8,270.72,14,2.24,4.2,7.56,12,7,4,0,16.89
45121Roger Federer,45121,Roger Federer,Tennis,https://a.espncdn.com/combiner/i?img=/i/headshots/tennis/players/full/425.png,8.5,6,6,7,4,8,83.5,Tempo,80,1127,180.32,281.75,394.45,270.48,12,1.92,3.6,6.48,18,11,6,0,18.21
45114Tom Brady,45114,Tom Brady,QB,https://apps.bostonglobe.com/sports/graphics/2017/01/tom-brady-superfreak/assets/img/brady_old.png,7,7,7,6,4.5,8,80.5,Tempo,102,1117,178.72,279.25,390.95,268.08,9,1.44,2.7,4.86,21,13,8,0,21.38
45142Kobe Bryant,45142,Kobe Bryant,Guard,https://cdn.nba.com/headshots/nba/latest/1040x760/977.png,6,8,8,6,8.5,4,77.5,Tempo,52,1110,177.6,277.5,388.5,266.4,15,2.4,4.5,8.1,18,11,6,0,18.2
45132Roger Federer,45132,Roger Federer,Tennis,https://a.espncdn.com/combiner/i?img=/i/headshots/tennis/players/full/425.png,7,5,5,6,5,7,84,Change of Direction,59,1277,344.79,459.72,383.1,89.39,91,19.11,33.67,38.22,83,35,25,23,17.69
45139Serena Williams,45139,Serena Williams,Tennis,https://bongo5.com/wp-content/uploads/2017/08/serena...jpg,6.5,8,6,7,4,7,78.5,Change of Direction,71,1273,343.71,458.28,381.9,89.11,113,23.73,41.81,47.46,84,36,25,23,15.9
45118Pele,45118,Pele,Forward,https://i.guim.co.uk/img/media/6e5f6d8d3e75e53d38d0d640a03ae88acd39fec1/0_0_2515_3180/master/2515.jpg?width=700&quality=85&auto=format&fit=max&s=181d7944e658c049e0045f91bb0ce989,6.5,7,7,8,6.5,6,80,Change of Direction,69,1270,342.9,457.2,381,88.9,74,15.54,27.38,31.08,65,28,20,18,18.22
45139Wayne Gretzky,45139,Wayne Gretzky,Center,https://media.gettyimages.com/id/51390816/photo/montreal-qc-wayne-gretzky-of-the-edmonton-oilers-poses-for-a-portrait-on-january-9-1985-at-the.jpg?s=612x612&w=gi&k=20&c=ykQG9ElBkw-A4rW4mC-2ruUVB5-kCvwZPsxV_MMgyNc=,7.5,6,6,5,7.5,8,86,Change of Direction,51,1253,338.31,451.08,375.9,87.71,91,19.11,33.67,38.22,64,27,19,18,15.58
45139Roger Federer,45139,Roger Federer,Tennis,https://a.espncdn.com/combiner/i?img=/i/headshots/tennis/players/full/425.png,7,7,7,4.5,4,4,76,Change of Direction,18,1247,336.69,448.92,374.1,87.29,96,20.16,35.52,40.32,72,31,22,20,18.82
45135Jackie Robinson,45135,Jackie Robinson,2B,https://hips.hearstapps.com/hmg-prod/images/jackie-robinson-brooklyn-dodger-from-1947-1956-the-first-news-photo-1686849060.jpg,6.5,9,8,8,7,6,77.5,Tempo,223,1065,170.4,266.25,372.75,255.6,11,1.76,3.3,5.94,15,9,5,0,15.98
45146Jackie Robinson,45146,Jackie Robinson,2B,https://hips.hearstapps.com/hmg-prod/images/jackie-robinson-brooklyn-dodger-from-1947-1956-the-first-news-photo-1686849060.jpg,6.5,7,6,4.5,8.5,6,83,Change of Direction,73,1241,335.07,446.76,372.3,86.87,133,27.93,49.21,55.86,81,34,24,22,18
45135Serena Williams,45135,Serena Williams,Tennis,https://bongo5.com/wp-content/uploads/2017/08/serena...jpg,7,7.5,6,4.5,7.5,7,83,Tempo,68,1060,169.6,265,371,254.4,15,2.4,4.5,8.1,18,11,6,0,19
45125Michael Jordan,45125,Michael Jordan,Guard,https://clutchpoints-profile-pics.s3.amazonaws.com/headshots/jordanm.png,8.5,5,6,8,7,4,83.5,Change of Direction,62,1233,332.91,443.88,369.9,86.31,132,27.72,48.84,55.44,70,30,21,19,16.68
45113Michael Jordan,45113,Michael Jordan,Guard,https://clutchpoints-profile-pics.s3.amazonaws.com/headshots/jordanm.png,6,8,8,7,4,7,76,Change of Direction,26,1217,328.59,438.12,365.1,85.19,125,26.25,46.25,52.5,71,30,21,20,17.63
45149Roger Federer,45149,Roger Federer,Tennis,https://a.espncdn.com/combiner/i?img=/i/headshots/tennis/players/full/425.png,7,7,7,5,5,7,80,Tempo,140,1043,166.88,260.75,365.05,250.32,12,1.92,3.6,6.48,12,7,4,0,13.23
45146Michael Jordan,45146,Michael Jordan,Guard,https://clutchpoints-profile-pics.s3.amazonaws.com/headshots/jordanm.png,7,6,6,4,6.5,4,80.5,Change of Direction,15,1210,326.7,435.6,363,84.7,108,22.68,39.96,45.36,79,34,24,22,13.99
45121Serena Williams,45121,Serena Williams,Tennis,https://bongo5.com/wp-content/uploads/2017/08/serena...jpg,7.5,8,8,4,7,6,79.5,Tempo,65,1037,165.92,259.25,362.95,248.88,15,2.4,4.5,8.1,12,7,4,0,22.32
45139Tom Brady,45139,Tom Brady,QB,https://apps.bostonglobe.com/sports/graphics/2017/01/tom-brady-superfreak/assets/img/brady_old.png,5,6,6.5,5.5,4,7,78.5,Change of Direction,45,1208,326.16,434.88,362.4,84.56,132,27.72,48.84,55.44,78,33,23,21,17.04
45114Wayne Gretzky,45114,Wayne Gretzky,Center,https://media.gettyimages.com/id/51390816/photo/montreal-qc-wayne-gretzky-of-the-edmonton-oilers-poses-for-a-portrait-on-january-9-1985-at-the.jpg?s=612x612&w=gi&k=20&c=ykQG9ElBkw-A4rW4mC-2ruUVB5-kCvwZPsxV_MMgyNc=,6.5,6,6,7.5,7.5,5,82,Tempo,87,1035,165.6,258.75,362.25,248.4,13,2.08,3.9,7.02,14,9,5,0,22.85
45132Tom Brady,45132,Tom Brady,QB,https://apps.bostonglobe.com/sports/graphics/2017/01/tom-brady-superfreak/assets/img/brady_old.png,7,7,6,4,7.5,4,80.5,Change of Direction,28,1204,325.08,433.44,361.2,84.28,136,28.56,50.32,57.12,67,28,20,18,16.31
45135Michael Jordan,45135,Michael Jordan,Guard,https://clutchpoints-profile-pics.s3.amazonaws.com/headshots/jordanm.png,8,6,6,8,6.5,4,81.5,Tempo,68,1028,164.48,257,359.8,246.72,9,1.44,2.7,4.86,21,13,8,0,19.76
45149Michael Jordan,45149,Michael Jordan,Guard,https://clutchpoints-profile-pics.s3.amazonaws.com/headshots/jordanm.png,7,8,7,6.5,8,6,81,Tempo,169,1027,164.32,256.75,359.45,246.48,11,1.76,3.3,5.94,13,8,5,0,17.13
45114Roger Federer,45114,Roger Federer,Tennis,https://a.espncdn.com/combiner/i?img=/i/headshots/tennis/players/full/425.png,7,8,8.5,7,5,4,74.5,Tempo,125,1021,163.36,255.25,357.35,245.04,15,2.4,4.5,8.1,12,7,4,0,20.17
45128Serena Williams,45128,Serena Williams,Tennis,https://bongo5.com/wp-content/uploads/2017/08/serena...jpg,7.5,6,7,6.5,7.5,4,81,Tempo,130,1020,163.2,255,357,244.8,8,1.28,2.4,4.32,12,7,4,0,13.13
45149Kobe Bryant,45149,Kobe Bryant,Guard,https://cdn.nba.com/headshots/nba/latest/1040x760/977.png,6,9,8,6,4.5,5,73.5,Tempo,210,1020,163.2,255,357,244.8,8,1.28,2.4,4.32,16,10,6,0,18.51
45149Jackie Robinson,45149,Jackie Robinson,2B,https://hips.hearstapps.com/hmg-prod/images/jackie-robinson-brooklyn-dodger-from-1947-1956-the-first-news-photo-1686849060.jpg,6,6,6,5.5,4,4,77,Tempo,132,1020,163.2,255,357,244.8,11,1.76,3.3,5.94,14,9,5,0,14.24
45132Kobe Bryant,45132,Kobe Bryant,Guard,https://cdn.nba.com/headshots/nba/latest/1040x760/977.png,8,5,4.5,8,6.5,8,88,Change of Direction,29,1189,321.03,428.04,356.7,83.23,101,21.21,37.37,42.42,88,37,26,24,17.57
45125Jackie Robinson,45125,Jackie Robinson,2B,https://hips.hearstapps.com/hmg-prod/images/jackie-robinson-brooklyn-dodger-from-1947-1956-the-first-news-photo-1686849060.jpg,7.5,7,7,3.5,7,8,83.5,Change of Direction,31,1181,318.87,425.16,354.3,82.67,79,16.59,29.23,33.18,79,34,24,22,13.57
45125Pele,45125,Pele,Forward,https://i.guim.co.uk/img/media/6e5f6d8d3e75e53d38d0d640a03ae88acd39fec1/0_0_2515_3180/master/2515.jpg?width=700&quality=85&auto=format&fit=max&s=181d7944e658c049e0045f91bb0ce989,6,7,7,6,4.5,8,79.5,Change of Direction,80,1176,317.52,423.36,352.8,82.32,134,28.14,49.58,56.28,80,34,24,22,16.49
45142Jackie Robinson,45142,Jackie Robinson,2B,https://hips.hearstapps.com/hmg-prod/images/jackie-robinson-brooklyn-dodger-from-1947-1956-the-first-news-photo-1686849060.jpg,6.5,7,7,4.5,4,7,78.5,Tempo,105,1005,160.8,251.25,351.75,241.2,14,2.24,4.2,7.56,21,13,8,0,18.65
45142Tom Brady,45142,Tom Brady,QB,https://apps.bostonglobe.com/sports/graphics/2017/01/tom-brady-superfreak/assets/img/brady_old.png,7,7,6,7,6,5,80,Tempo,198,1003,160.48,250.75,351.05,240.72,11,1.76,3.3,5.94,12,7,4,0,17.89
45125Kobe Bryant,45125,Kobe Bryant,Guard,https://cdn.nba.com/headshots/nba/latest/1040x760/977.png,5,8,8,4,5.5,8,77.5,Change of Direction,79,1167,315.09,420.12,350.1,81.69,107,22.47,39.59,44.94,67,28,20,18,14.7
45113Kobe Bryant,45113,Kobe Bryant,Guard,https://cdn.nba.com/headshots/nba/latest/1040x760/977.png,7,6,5.5,4,7,7,84.5,Change of Direction,53,1164,314.28,419.04,349.2,81.48,79,16.59,29.23,33.18,74,31,22,20,16.49
45128Jackie Robinson,45128,Jackie Robinson,2B,https://hips.hearstapps.com/hmg-prod/images/jackie-robinson-brooklyn-dodger-from-1947-1956-the-first-news-photo-1686849060.jpg,6.5,8.5,8,4.5,6.5,6,77.5,Tempo,143,974,155.84,243.5,340.9,233.76,14,2.24,4.2,7.56,18,11,6,0,18.11
45125Wayne Gretzky,45125,Wayne Gretzky,Center,https://media.gettyimages.com/id/51390816/photo/montreal-qc-wayne-gretzky-of-the-edmonton-oilers-poses-for-a-portrait-on-january-9-1985-at-the.jpg?s=612x612&w=gi&k=20&c=ykQG9ElBkw-A4rW4mC-2ruUVB5-kCvwZPsxV_MMgyNc=,7,6,6,7.5,5.5,7,82.5,Change of Direction,27,1136,306.72,408.96,340.8,79.52,126,26.46,46.62,52.92,87,37,26,24,16.01
45146Wayne Gretzky,45146,Wayne Gretzky,Center,https://media.gettyimages.com/id/51390816/photo/montreal-qc-wayne-gretzky-of-the-edmonton-oilers-poses-for-a-portrait-on-january-9-1985-at-the.jpg?s=612x612&w=gi&k=20&c=ykQG9ElBkw-A4rW4mC-2ruUVB5-kCvwZPsxV_MMgyNc=,6,8,8,3.5,4.5,6,75.5,Change of Direction,71,1134,306.18,408.24,340.2,79.38,110,23.1,40.7,46.2,87,37,26,24,14.34
45146Pele,45146,Pele,Forward,https://i.guim.co.uk/img/media/6e5f6d8d3e75e53d38d0d640a03ae88acd39fec1/0_0_2515_3180/master/2515.jpg?width=700&quality=85&auto=format&fit=max&s=181d7944e658c049e0045f91bb0ce989,6,6,6,7,6.5,7,82.5,Change of Direction,68,1133,305.91,407.88,339.9,79.31,129,27.09,47.73,54.18,66,28,20,18,17.19
45118Wayne Gretzky,45118,Wayne Gretzky,Center,https://media.gettyimages.com/id/51390816/photo/montreal-qc-wayne-gretzky-of-the-edmonton-oilers-poses-for-a-portrait-on-january-9-1985-at-the.jpg?s=612x612&w=gi&k=20&c=ykQG9ElBkw-A4rW4mC-2ruUVB5-kCvwZPsxV_MMgyNc=,6,6,6,4.5,7,5,81,Change of Direction,45,1121,302.67,403.56,336.3,78.47,102,21.42,37.74,42.84,86,37,26,24,14.14
45125Tom Brady,45125,Tom Brady,QB,https://apps.bostonglobe.com/sports/graphics/2017/01/tom-brady-superfreak/assets/img/brady_old.png,6.5,7,7,8,6,5,78.5,Change of Direction,77,1121,302.67,403.56,336.3,78.47,125,26.25,46.25,52.5,64,27,19,18,15.17
45121Kobe Bryant,45121,Kobe Bryant,Guard,https://cdn.nba.com/headshots/nba/latest/1040x760/977.png,6,8,8,6,6,6,77,Tempo,209,957,153.12,239.25,334.95,229.68,13,2.08,3.9,7.02,18,11,6,0,15.73
45135Tom Brady,45135,Tom Brady,QB,https://apps.bostonglobe.com/sports/graphics/2017/01/tom-brady-superfreak/assets/img/brady_old.png,6.5,6,6,6,4,7,80.5,Tempo,133,957,153.12,239.25,334.95,229.68,12,1.92,3.6,6.48,17,11,6,0,15.34
45113Roger Federer,45113,Roger Federer,Tennis,https://a.espncdn.com/combiner/i?img=/i/headshots/tennis/players/full/425.png,6,6.5,6,4,4,4,76.5,Change of Direction,52,1111,299.97,399.96,333.3,77.77,137,28.77,50.69,57.54,82,35,25,23,18.02
45148Kobe Bryant,45148,Kobe Bryant,Guard,https://cdn.nba.com/headshots/nba/latest/1040x760/977.png,5,8,8,4.5,6,6,76,Max Velocity,59,1324,397.2,331,331,264.8,65,26,18.2,20.8,84,46,26,12,23.57
45113Jackie Robinson,45113,Jackie Robinson,2B,https://hips.hearstapps.com/hmg-prod/images/jackie-robinson-brooklyn-dodger-from-1947-1956-the-first-news-photo-1686849060.jpg,5,8,7,7.5,8,4,77,Change of Direction,84,1098,296.46,395.28,329.4,76.86,68,14.28,25.16,28.56,71,30,21,20,17.33
45121Pele,45121,Pele,Forward,https://i.guim.co.uk/img/media/6e5f6d8d3e75e53d38d0d640a03ae88acd39fec1/0_0_2515_3180/master/2515.jpg?width=700&quality=85&auto=format&fit=max&s=181d7944e658c049e0045f91bb0ce989,8,7,7,3.5,4,8,81,Tempo,114,940,150.4,235,329,225.6,12,1.92,3.6,6.48,13,8,5,0,22.11
45118Tom Brady,45118,Tom Brady,QB,https://apps.bostonglobe.com/sports/graphics/2017/01/tom-brady-superfreak/assets/img/brady_old.png,7.5,8,8,8,5,5,76.5,Change of Direction,56,1096,295.92,394.56,328.8,76.72,127,26.67,46.99,53.34,77,33,23,21,14.22
45118Serena Williams,45118,Serena Williams,Tennis,https://bongo5.com/wp-content/uploads/2017/08/serena...jpg,7,7,7,5.5,8,4,80,Change of Direction,101,1092,294.84,393.12,327.6,76.44,65,13.65,24.05,27.3,72,31,22,20,17.68
45127Pele,45127,Pele,Forward,https://i.guim.co.uk/img/media/6e5f6d8d3e75e53d38d0d640a03ae88acd39fec1/0_0_2515_3180/master/2515.jpg?width=700&quality=85&auto=format&fit=max&s=181d7944e658c049e0045f91bb0ce989,6,8,8,5,6,6,77,Max Velocity,52,1309,392.7,327.25,327.25,261.8,68,27.2,19.04,21.76,84,46,26,12,21.21
45149Pele,45149,Pele,Forward,https://i.guim.co.uk/img/media/6e5f6d8d3e75e53d38d0d640a03ae88acd39fec1/0_0_2515_3180/master/2515.jpg?width=700&quality=85&auto=format&fit=max&s=181d7944e658c049e0045f91bb0ce989,7.5,6,6,6.5,6.5,4,81,Tempo,147,930,148.8,232.5,325.5,223.2,12,1.92,3.6,6.48,12,7,4,0,13.75
45120Pele,45120,Pele,Forward,https://i.guim.co.uk/img/media/6e5f6d8d3e75e53d38d0d640a03ae88acd39fec1/0_0_2515_3180/master/2515.jpg?width=700&quality=85&auto=format&fit=max&s=181d7944e658c049e0045f91bb0ce989,7,7,7,7,7,7,82,Max Velocity,97,1297,389.1,324.25,324.25,259.4,84,33.6,23.52,26.88,88,48,27,12,21.66
45113Serena Williams,45113,Serena Williams,Tennis,https://bongo5.com/wp-content/uploads/2017/08/serena...jpg,6.5,7,7,6.5,6,7,80.5,Change of Direction,42,1079,291.33,388.44,323.7,75.53,71,14.91,26.27,29.82,73,31,22,20,13.5
45127Kobe Bryant,45127,Kobe Bryant,Guard,https://cdn.nba.com/headshots/nba/latest/1040x760/977.png,5,7,7,7.5,6.5,5,77.5,Max Velocity,55,1291,387.3,322.75,322.75,258.2,91,36.4,25.48,29.12,80,44,25,11,17.4
45132Serena Williams,45132,Serena Williams,Tennis,https://bongo5.com/wp-content/uploads/2017/08/serena...jpg,7,8,8,8,6.5,6,78.5,Change of Direction,68,1075,290.25,387,322.5,75.25,111,23.31,41.07,46.62,88,37,26,24,18.03
45148Michael Jordan,45148,Michael Jordan,Guard,https://clutchpoints-profile-pics.s3.amazonaws.com/headshots/jordanm.png,6,6,6,5,4,6,79,Max Velocity,25,1290,387,322.5,322.5,258,97,38.8,27.16,31.04,83,46,26,11,14.79
45127Michael Jordan,45127,Michael Jordan,Guard,https://clutchpoints-profile-pics.s3.amazonaws.com/headshots/jordanm.png,6.5,8,8,7.5,5,7,77.5,Max Velocity,98,1280,384,320,320,256,74,29.6,20.72,23.68,86,47,27,12,21.09
45134Wayne Gretzky,45134,Wayne Gretzky,Center,https://media.gettyimages.com/id/51390816/photo/montreal-qc-wayne-gretzky-of-the-edmonton-oilers-poses-for-a-portrait-on-january-9-1985-at-the.jpg?s=612x612&w=gi&k=20&c=ykQG9ElBkw-A4rW4mC-2ruUVB5-kCvwZPsxV_MMgyNc=,6,7,7,5.5,6.5,4,77.5,Max Velocity,46,1279,383.7,319.75,319.75,255.8,76,30.4,21.28,24.32,85,47,27,12,18.94
45121Tom Brady,45121,Tom Brady,QB,https://apps.bostonglobe.com/sports/graphics/2017/01/tom-brady-superfreak/assets/img/brady_old.png,6.5,6,6,7.5,4.5,5,79,Tempo,230,913,146.08,228.25,319.55,219.12,17,2.72,5.1,9.18,12,7,4,0,21.55
45146Tom Brady,45146,Tom Brady,QB,https://apps.bostonglobe.com/sports/graphics/2017/01/tom-brady-superfreak/assets/img/brady_old.png,5,7,6,7,5.5,4,76.5,Change of Direction,47,1064,287.28,383.04,319.2,74.48,100,21,37,42,77,33,23,21,13.56
